	Genus	Species	Name_Change	Author	Year
1	Aaptoryctes	ivyi	0	Gingerich	1982
2	Aatotomus	placochton	0	Rankin	2014
3	Abalosia	castellanosi	1	Rusconi	1933
4	Abathmodon	fossilis	0	Lund	1845
5	Abderites	aisenense	0	Abello_&amp;_Rubilar-Rogers	2012
6	Abderites	altiramis	0	Ameghino	1894
7	Abderites	crassignathus	0	Ameghino	1891
8	Abderites	crispulus	0	Ameghino	1902
9	Abderites	crispus	0	Ameghino	1902
10	Abderites	meridionalis	0	Ameghino	1887
11	Abderites	pristinus	0	Kraglievich	1953
12	Abderites	serratus	0	Ameghino	1891
13	Abderites	tenuissimus	0	Ameghino	1891
14	Abelia	pentelica	0	Kretzoi	1938
15	Abelmoschomys	simpsoni	0	Baskin	1986
16	Abelodon	abeli	0	"Brunet,_Coppens,_Dejax,_Flynn,_Heintz,_Hell,_Jacobs,_Jehenne,_Mouchelin_&amp;_et_al"	1990
17	Abeomelomys	sevia	1	Tate_&amp;_Archbold	1935
18	Aboletylestes	hypselus	0	Russell	1964
19	Aboletylestes	robustus	0	Gheerbrant	1992
20	Abothrodon	pricei	NA	NA	NA
21	Abrawayaomys	chebezi	0	Cunha_&amp;_Cruz	1979
22	Abrawayaomys	ruschi	NA	NA	NA
23	Abrawayaomys	ruschii	0	Cunha_&amp;_Cruz	1979
24	Abrocoma	antiqua	0	Rovereto	1914
25	Abrocoma	benetti	NA	NA	NA
26	Abrocoma	bennetti	0	Waterhouse	1837
27	Abrocoma	bennettii	0	Waterhouse	1837
28	Abrocoma	boliviensis	0	Glanz_&amp;_Anderson	1990
29	Abrocoma	budini	0	Thomas	1920
30	Abrocoma	cinerea	0	Thomas	1919
31	Abrocoma	cuvieri	0	Waterhouse	1837
32	Abrocoma	famatina	0	Thomas	1920
33	Abrocoma	murrayi	0	Wolffsohn	1916
34	Abrocoma	obiativa	0	Eaton	1916
35	Abrocoma	oblativa	0	Eaton	1916
36	Abrocoma	schistacea	0	Thomas	1921
37	Abrocoma	uspallata	0	Braun_&amp;_Mares	2002
38	Abrocoma	vaccarum	0	Thomas	1921
39	Abrosomys	agasma	0	Shevyreva	1984
40	Abrothrix	andinus	NA	NA	NA
41	Abrothrix	arenicola	0	Waterhouse	1840
42	Abrothrix	brachyotis	0	Waterhouse	1840
43	Abrothrix	canescens	0	Waterhouse	1840
44	Abrothrix	illutea	0	Thomas	1925
45	Abrothrix	iniscatus	NA	NA	NA
46	Abrothrix	jelskii	NA	NA	NA
47	Abrothrix	lanosus	NA	NA	NA
48	Abrothrix	longipilis	0	Waterhouse	1840
49	Abrothrix	manni	0	"D&039;Elia,_Teta,_Upham,_Pardinas_&amp;_Patterson"	2015
50	Abrothrix	micropus	0	Waterhouse	1840
51	Abrothrix	obscurus	0	Waterhouse	1840
52	Abrothrix	olivacea	NA	NA	NA
53	Abrothrix	olivaceus	0	Waterhouse	1840
54	Abrothrix	sanborni	NA	NA	NA
55	Abrothrix	xanthorhinus	0	Waterhouse	1840
56	Abrothrix	xanthorinus	NA	NA	NA
57	Absarokius	abbotti	1	Loomis	1906
58	Absarokius	australis	0	Bown_&amp;_Rose	1987
59	Absarokius	gazini	0	Bown_&amp;_Rose	1987
60	Absarokius	metoecus	0	Bown_&amp;_Rose	1987
61	Absarokius	nocerai	1	Robinson	1966
62	Absarokius	noctivagus	0	Matthew	1915
63	Absarokius	witteri	0	Morris	1954
64	Abuatta	seniculus	NA	NA	NA
65	Abudhabia	baheensis	0	"Qiu,_Zheng_&amp;_Zhang"	2004
66	Abudhabia	baynunensis	0	de_Bruijn_&amp;_Whybrow	1994
67	Abudhabia	kabulense	1	Sen	1983
68	Abudhabia	pakistanensis	0	Flynn_&amp;_Jacobs	1999
69	Abudhabia	radinskyi	0	"Flynn,_Winkler,_Jacobs_&amp;_Downs"	2003
70	Abudhabia	tateroides	0	Mein_&amp;_Pickford	2006
71	Abuqatrania	basiodontos	0	"Simons,_Seiffert,_Chatrath_&amp;_Attia"	2002
72	Acantharodeia	spicata	0	Rovereto	1914
73	Acanthion	brachyurus	NA	NA	NA
74	Acanthion	cuvieri	0	Gray	1847
75	Acanthion	flemingii	0	Gray	1847
76	Acanthion	hodgsonii	0	Gray	1847
77	Acanthion	javanicum	NA	NA	NA
78	Acanthion	klossi	0	Thomas	1916
79	Acanthion	leucurus	NA	NA	NA
80	Acanthion	longicaudum	NA	NA	NA
81	Acanthion	muelleri	NA	NA	NA
82	Acanthion	sumbawae	NA	NA	NA
83	Acanthoglossus	bruijni	NA	NA	NA
84	Acanthomys	alexandrinus	1	Geoff.	NA
85	Acanthomys	cahirinus	1	Licht.	NA
